1048,The House Bunny
1049,Irreversible
758,The Music Never Stopped
759,The Negotiator
760,Dog Day Afternoon
761,Steel Magnolias
762,Something to Talk About
763,The Romantics
764,The Last Kiss (L'Ultimo bacio)
765,Michael Clayton
807,The Neverending Story
767,Young Adult
768,The Women on the 6th Floor
769,Winter in Wartime
770,A Prophet (Un prophete)
771,Nostalgia for the Light
772,Dogtooth (Kynodontas)
773,Marie Antoinette
774,Anonymous
775,Casanova
776,Tristan & Isolde
777,Moulin Rouge!
778,Elizabeth: The Golden Age
780,The Princess Of Montpensier
781,Gigi
782,Roman Holiday
783,Sabrina
784,Dr. Dolittle
785,Ace Ventura: Pet Detective
786,March of the Penguins
787,Valiant
788,Dinosaur
790,Pocahontas
791,Mulan II
792,Aladdin
793,Cinderella
794,Anastasia
795,Pinocchio
796,Hercules
797,The Little Mermaid II - Return to the Sea
798,The Little Mermaid: Ariel's Beginning
799,Close Encounters of the Third Kind
800,Flight of the Navigator
801,Transformers
802,Transformers: Dark of the Moon
803,RoboCop
808,Meet Me In St. Louis
809,Chitty Chitty Bang Bang
810,Bedknobs and Broomsticks
811,Night at the Museum
812,Jumanji
813,Zathura
814,Mr. Nobody
815,Big Fish
816,The Cell
817,The Fountain
818,The Princess Bride
819,The Golden Compass
820,The Secret Garden
821,Where the Wild Things Are
822,Spirited Away
823,El Orfanato (The Orphanage)
824,The League of Extraordinary Gentlemen
825,Van Helsing
826,The Spiderwick Chronicles
827,Ella Enchanted
828,Enchanted
829,Finding Neverland
830,The King and I
831,Gone With the Wind
832,Mamma Mia!
833,Harry Potter and the Half-Blood Prince
834,The Hunger Games
835,Harry Potter and the Prisoner of Azkaban
836,It's a Wonderful Life
837,A Christmas Story
838,Disney's A Christmas Carol
1051,Time to Leave (Le Temps Qui Reste)
1052,Almost Famous
1053,Rock Star
839,Hugo
840,The Lion King
841,Freaks
842,My Left Foot
844,Sherlock Holmes
845,I Sell the Dead
848,Addams Family Values
849,Hocus Pocus
850,Gremlins 2: The New Batch
851,The Goonies
852,Critters
853,Dr. Seuss' Horton Hears a Who!
854,Planet 51
855,Home on the Range
856,Alvin and the Chipmunks: The Squeakquel
857,Beverly Hills Chihuahua
858,Charlotte's Web
859,Babe
860,Dumbo
861,Garfield - The Movie
863,Scooby-Doo 2 - Monsters Unleashed
864,Garfield: A Tail of Two Kitties
866,Lara Croft - Tomb Raider
867,Desperado
868,The Matrix Reloaded
869,The Game Plan
870,Daddy Day Care
871,Kindergarten Cop
872,Cheaper by the Dozen
873,"Yours, Mine & Ours"
912,Lonesome Jim
913,Roger Dodger
914,Pizza
915,The Proposal
874,The Bounty Hunter
875,True Lies
877,Gulliver's Travels
878,Short Circuit 2
879,Back to the Future
880,*batteries not included
881,101 Dalmatians
882,Cats & Dogs: The Revenge of Kitty Galore
883,Blues Brothers 2000
884,The Great Outdoors
885,Uncle Buck
886,The Breakfast Club
887,Dazed and Confused
888,Ferris Bueller's Day Off
889,Cedar Rapids
890,The Big Lebowski
891,The Promotion
892,Waiting
896,Brother's Justice
897,American Dreamz
898,Scary Movie 3
899,Scary Movie 2
900,Epic Movie
901,Scary Movie 5
902,The Ring
903,Bring It On
905,Step Up
906,There's Something About Mary
907,What a Girl Wants
908,St. Trinian's
909,You Again
910,Manhattan
911,Dangerous Liaisons
916,A Cinderella Story
917,2 Fast 2 Furious
918,S.W.A.T.
919,The Fast and the Furious: Tokyo Drift
920,Captain America: The First Avenger
921,The Chronicles of Riddick
922,Fast Five
923,Quantum of Solace
924,Skyfall
925,Diamonds Are Forever
926,On Her Majesty's Secret Service
927,Iron Man
928,Thor
1054,Did You Hear About the Morgans?
1055,Closer
1056,Free Zone
1057,Anywhere But Here
929,Iron Man 2
930,The Incredible Hulk
931,Unknown
932,Enemy of the State
933,Sniper
934,Man on Fire
935,Traffic
936,Trade
937,Ransom
938,Brighton Rock
939,24 Hour Party People
940,No Direction Home: Bob Dylan
941,Walk the Line
942,Last Days
943,What's Love Got To Do With It?
944,The Doors
946,Rabbit-Proof Fence
947,Funny Girl
948,10 Things I Hate About You
949,Remember the Titans
950,Little Giants
951,Fireproof
952,Friday Night Lights
953,We Are Marshall
954,The Other End of the Line
956,Salaam Namaste
986,Citizen Ruth
987,Ace in the Hole (The Big Carnival)
988,True Romance
989,Jennifer's Body
990,Jawbreaker
959,Jane Eyre
960,The Count of Monte Cristo
961,Last Night
962,Bright Star
963,Titanic
964,Dear John
965,Casablanca
966,The Reader
967,The Painted Veil
968,Cold Mountain
969,Far and Away
1087,Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan
970,Repo Men
971,In Time
972,1984 (Nineteen Eighty-Four)
973,The Matrix Revolutions
974,The Fifth Element
975,Demolition Man
976,Source Code
977,Inception
978,Brazil
979,Blade Runner
980,Logan's Run
981,King Kong
982,Runaway Bride
984,Friends With Benefits
985,Sixteen Candles
991,Sound of My Voice
992,World on a Wire
993,Monsters
994,Children of Men
995,Primer
996,Total Recall
997,How to Eat Fried Worms
998,The Sandlot
999,Diary of a Wimpy Kid 2: Rodrick Rules
1000,The Go-Getter
1001,Elizabethtown
1002,Away We Go
1003,Donnie Darko: The Director's Cut
1004,Mulholland Drive
1088,Club Dread
1089,Grandma's Boy
1090,Jackass - The Movie
1005,Heartless
1006,The United States of Leland
1008,Trust
1010,For Colored Girls
1011,The Grace Card
1012,Harvest
1123,Defendor
1124,Cloverfield
1125,Stand by Me
1126,Charlie's Angels
1013,Mother and Child
1014,Intimacy
1015,Maria Larssons eviga ogonblick (Everlasting Moments) (Maria Larsson's Everlasting Moment)
1016,One Hour Photo
1017,Talk to Her
1018,"Paris, Texas"
1019,Last Tango in Paris
1020,Henry & June
1021,Eat Pray Love
1091,Jackass: Number Two
1222,Boiler Room
1223,Mini's First Time
1022,Larry Crowne
1023,Midnight in Paris
1024,50/50
1025,Pleasantville
1026,The Joneses
1027,EdTV
1028,Trainspotting
1029,Black Swan
1127,The Naked Gun - From the Files of Police Squad!
1030,Twelve
1032,Kaboom
1033,Valmont
1034,The International
1035,Nothing But the Truth
1036,The Constant Gardener
1037,Three Days of the Condor
1038,American Gangster
1039,Harold & Kumar Escape from Guantanamo Bay
1040,"Dude, Where's My Car?"
1041,Half Baked
1042,National Lampoon's Van Wilder (Party Liaison)
1043,Mr. Bean's Holiday
1058,Elektra Luxx
1059,Team America - World Police
1060,BASEketball
1061,The Ghost Writer
1062,Conspiracy Theory
1063,The Manchurian Candidate
1064,Hannah and Her Sisters
1065,You Will Meet a Tall Dark Stranger
1066,Vicky Cristina Barcelona
1068,The Santa Clause
1069,Fred Claus
1070,The Santa Clause 2 - The Mrs. Clause
1071,Arthur Christmas
1128,The Dukes of Hazzard: The Beginning
1129,Charlie's Angels - Full Throttle
1130,First Sunday
1131,Spaceballs
1132,Shanghai Knights
1133,Collateral
1134,Heat
1072,Hop
1073,RV
1074,The Longest Yard
1075,Gridiron Gang
1076,The Waterboy
1077,Airplane!
1078,The A-Team
1079,The Naked Gun 33 1/3: The Final Insult
1080,Three Amigos!
1081,Pirates of the Caribbean: The Curse of the Black Pearl
1082,Rock School
1083,Little Nicky
1084,The Love Guru
1085,"Me, Myself & Irene"
1086,Happy Gilmore
1092,Zookeeper
1093,Police Academy 2 - Their First Assignment
1094,Police Academy 3 - Back in Training
1095,Police Academy 4 - Citizens on Patrol
1096,Police Academy 5 - Assignment Miami Beach
1097,Very Bad Things
1098,Bachelor Party
1099,Anger Management
1100,Tommy Boy
1101,Three Men and a Little Lady
1102,Austin Powers: The Spy Who Shagged Me
1103,So I Married an Axe Murderer
1104,Austin Powers in Goldmember
1105,Bill & Ted's Bogus Journey
1106,Back to the Future Part II
1107,Dumb and Dumber
1108,Step Brothers
1109,Superstar
1110,Aquamarine
1111,Bewitched
1112,Some Kind of Wonderful
1113,Dawn of the Dead
1114,28 Days Later
1115,Land of the Dead
1116,28 Weeks Later...
1117,Night of the Living Dead
1118,Dick Tracy
1119,X-Men: First Class
1120,X-Men
1121,High Fidelity
1122,Griff the Invisible
1135,Brooklyn's Finest
1136,The Spy Next Door
1138,Bulletproof Monk
1139,The Forbidden Kingdom
1141,Stomp the Yard
1142,Set It Off
1143,Running Scared
1144,Never Die Alone
1145,Black Snake Moan
1146,Freedom Writers
1147,Alpha Dog
1148,Boyz n the Hood
1149,We Own the Night
